item_id;vectors
0;-0.35421956|-0.37252465|-0.5009955|0.27285188|-0.6994148|-0.40084958|0.66701764|0.73719764|-0.14273861|-0.2693746|-0.20684549|-0.30098775|0.46789837|0.12906286|0.38311464|-0.19534943|0.0219841|-0.2433038|-0.3005254|0.66201115|0.41411048|0.27287146|-0.60414284|0.6254776|0.26946586|-0.6183732|0.601243|-0.45541206|-0.87051964|-0.1999653|-0.18432568|0.37488613|-0.5544604|0.12726596|-0.6610894|0.349068|0.88185537|-0.4212677|0.31274912|0.03420861|0.22016096|0.31202963|-0.02078557|0.19028896|-0.3795616|-0.23057216|-0.5942381|0.111264884|-0.1047551|-0.15406781|-0.002108395|0.16203867|0.4855115|0.38607478|0.20305319|-0.71766114|0.13211924|0.055501074|-0.22785853|0.6084525|-0.91372967|0.56900203|-0.31990543|-0.14180641|0.3061545|-0.3065414|-0.35836154|-0.11651577|-0.12640733|0.269562|-0.37297025|-0.9008225|0.44346368|0.7788869|0.014244795|0.9748118|-0.07653886|-0.23325792|-0.24544536|0.5199765|-0.06251757|-0.44587728|0.108299404|-0.3707829|0.5374382|-0.21023417|-0.2867468|-0.2670638|0.6831077|0.41799808|-0.23151684|-0.39364552|-0.16502206|0.3875107|0.36777437|-0.5403057|-1.1104943|0.71464527|-0.32417193|-0.67407525
1;0.46084478|-0.3383945|-0.4908358|0.3236938|-0.10340853|-0.5973853|0.58067375|0.107166275|-0.50393444|0.2970146|0.09970927|0.19087777|0.33720514|0.4149888|0.3474348|-0.031204734|0.39879596|0.010092989|-0.02490206|0.69853383|0.50519663|-0.50038123|-0.53088504|0.48719662|-0.11748574|-0.46630275|0.6255622|-0.47751516|-0.32867014|0.47294462|-0.18630245|-0.31344974|-0.5020555|0.5506935|-0.3971852|-0.61676323|0.5054769|-0.29444277|-0.18342906|0.36262947|-0.2691012|0.6039277|-0.3924682|0.03189662|-0.1963827|-0.32237563|-0.46013203|0.46170658|0.39181608|0.19814315|0.38384098|0.14585182|0.5253957|0.07386507|0.42056507|-0.31517303|0.51822674|-0.41978103|-0.22020636|0.49509928|-0.53136617|0.38252813|-0.29549584|0.03945814|0.11814|-0.44637525|-0.5123428|0.2173522|0.3435424|-0.047932286|-0.41145846|-0.61283326|0.06457937|0.17451121|0.29336607|0.7371775|0.28790498|-0.15815197|-0.38267505|-0.03131607|0.040797614|-0.2564291|-0.26296264|-0.4410483|0.47975743|-0.22085825|-0.37981376|-0.06771386|-0.17083675|0.33768454|0.026034907|-0.10572432|0.03817001|0.56390107|0.0520387|-0.14497986|-0.5209907|0.20268777|-0.22898653|-0.54812336
2;0.36287937|-0.18483487|-0.47199193|0.16991177|0.044581246|-0.56532526|0.8028289|0.15951948|-0.55108637|0.27814278|0.54042155|0.04172618|0.44933048|0.5142564|0.489239|-0.17149515|0.33331186|0.343044|-0.2747901|0.4103143|0.03015837|-0.31267133|-0.6133584|0.5146023|-0.1980142|-0.5884392|0.49829453|-0.52326256|-0.35274854|0.17073415|-0.22025914|-0.42190278|-0.3950178|0.37440884|-0.40668133|-0.08773911|0.5376371|-0.35714978|-0.35830513|0.2849667|-0.024098366|0.6999611|-0.30320963|0.14917421|-0.2257554|-0.11508693|-0.35868627|-0.090886354|0.54175985|0.36434942|0.8186993|0.20007017|0.5085931|0.22137839|0.525282|-0.47092122|0.3194892|-0.643652|-0.13703838|0.38550964|-0.45857954|0.32033724|-0.07979423|0.4558057|0.17637734|-0.53423476|-0.54224575|0.06852155|0.32759517|-0.04686378|-0.42540088|-0.36100528|0.46389115|-0.28614265|0.17392793|0.34283298|0.25920677|-0.3439349|-0.12336952|-0.01726934|0.13339224|-0.39763275|-0.5338758|-0.2307533|0.2321665|-0.2256186|-0.13252248|-0.36678907|0.046345025|0.36781833|-0.018865429|-0.06605731|0.00024314225|0.5224399|0.40112153|-0.26010558|-0.62229276|0.27610892|-0.30255145|-0.2997426
3;0.23666522|-0.58301413|-0.44717166|0.20792586|-0.30040246|-0.48672736|0.5260512|0.12727822|-0.27177757|0.23613673|0.49981385|0.3329385|0.6063571|0.5911962|0.13579184|-0.06047243|0.4442147|0.57567394|-0.07948829|0.5372589|0.5892409|-0.32675716|-0.5820965|0.41834015|-0.13812499|-0.28454483|0.5810505|-0.23484735|-0.25202978|0.3062763|-0.1514145|-0.3486512|-0.24228884|0.29090807|-0.4965347|-0.14150001|0.25050786|-0.29709697|-0.26412508|0.23964307|-0.17346306|0.602465|-0.34877086|0.039714262|-0.20748438|-0.4030296|-0.47008404|0.2969417|0.21995567|0.24678496|0.39349547|0.37985402|0.6795928|0.17180978|0.73209155|-0.17206523|0.19868366|-0.7066953|-0.43773156|0.8280945|-0.4222849|0.2088364|-0.26197454|0.2796306|0.0061765127|-0.008528084|-0.564892|0.030144468|0.09980771|0.08979592|-0.3174266|-0.29741305|0.33556724|-0.048768092|-0.023711145|0.4567341|0.11290468|-0.28632087|-0.13229981|0.03085075|-0.15670031|-0.18920991|-0.30405796|-0.31847906|0.3479006|-0.241459|-0.24946746|-0.22714888|0.005417242|0.3062932|0.07054589|-0.0058678463|-0.25022036|0.09051658|-0.052173093|-0.29567462|-0.39140198|0.18745303|-0.4721029|-0.41339946
4;0.7039304|-0.64094394|-0.17729318|-0.0022283792|0.12097201|-0.25182378|0.48852342|0.14078908|-0.37960094|0.21028337|0.44633427|0.035238877|0.40689623|0.3152024|0.35810477|-0.01787202|0.44318113|0.043942988|-0.24608886|0.23234016|0.01933667|-0.5591878|-0.7087614|0.22685638|0.058717467|-0.4252439|0.53549176|-0.29181153|-0.46178168|0.47456086|-0.3003698|-0.31850266|-0.77740896|0.13618258|-0.3637587|-0.46561036|0.40533546|-0.09818868|-0.21787228|0.37184682|-0.35169607|0.16888389|-0.4016172|0.28499794|-0.16223636|-0.32425612|-0.26923555|0.15532061|0.37452522|0.3131681|0.47227004|0.106562436|0.35047078|0.17683496|0.29136264|-0.4288152|0.44048554|-0.45876247|-0.4605868|0.5716765|-0.38035625|0.26896074|-0.3727578|0.28757483|0.08120294|-0.24052413|-0.47821152|-0.059755147|0.427971|-0.22761084|-0.44019586|-0.3643146|0.24454662|0.042749472|0.18470363|0.5805045|0.24324866|-0.5898236|-0.23638132|-0.056139372|-0.060097486|-0.29857928|-0.19331412|-0.033426017|0.120402575|-0.29170185|-0.55393595|-0.44377655|-0.07379153|0.5860405|0.18819115|0.13297206|-0.15195413|0.29968646|0.17938927|-0.43184274|-0.2896622|0.26618132|-0.41118446|-0.39428934
5;0.6159389|-0.27940333|-0.3784883|0.18288201|-0.13518426|-0.24433365|0.6243709|0.18628493|-0.41549236|-0.13632117|0.3884967|0.112773806|0.5925538|0.45166892|0.3980982|0.012026712|0.51822674|0.1521979|-0.260697|0.50987035|0.2835805|-0.39009738|-0.31773525|0.3444076|0.2209796|-0.27871963|0.465422|-0.11273524|-0.22577551|0.31357583|-0.38040337|-0.36074778|-0.4827615|0.14514227|-0.32045865|-0.48572803|0.3014236|0.12098524|-0.40297893|0.13204631|-0.33025327|0.24354653|-0.5199343|0.12921095|0.027108893|-0.5139202|-0.19861925|0.11839537|0.23200513|0.028655663|0.2904958|0.28436747|0.63220584|-0.12024666|0.17815635|-0.035289973|0.46166915|-0.5281531|-0.53701735|0.26071084|-0.74704367|0.089610174|-0.3874632|0.34145093|0.11947726|-0.16914178|-0.69335055|0.055314474|0.18164961|0.40197724|-0.3946574|-0.4354903|0.16268456|-0.2596463|0.055108145|0.22905208|0.20283955|-0.3310819|-0.15174112|-0.13527308|-0.16676816|-0.3400382|-0.27894947|-0.6374644|0.29018182|-0.3401489|-0.37143964|-0.38140398|-0.08770171|0.4007061|0.36875647|0.027751736|-0.13956374|0.266031|0.40001166|-0.04110086|-0.24292473|0.2028507|-0.47669476|-0.52901983
6;0.549288|-0.34141237|0.018005252|0.113888845|-0.16580078|-0.8589855|0.7046037|-0.14131394|-0.2545805|1.0397251|0.153181|0.29463062|1.0299075|0.42612618|0.34861732|0.20643002|0.30695763|0.12258119|-0.38625428|0.52129686|0.50409293|-0.05613616|-0.51431036|0.28618726|-0.23490828|-0.31167492|0.7847738|-0.23795895|0.04741916|0.2565027|-0.45572233|-0.007663101|0.07407254|0.15980089|-0.25637752|0.14527887|0.0859763|-0.6511165|-0.10260627|0.043915957|-0.5418999|0.6441322|-0.35787275|0.61215365|-0.678165|-0.13147482|-0.3539568|0.5150728|0.12093927|0.11175072|1.2277882|-0.27922025|0.6085862|0.78926134|0.4353045|0.1337494|0.06715062|-0.97641563|0.07034439|0.2797495|-0.55294067|0.4340401|0.0888125|0.08601325|0.11798847|0.18402869|-0.24521661|0.3588708|0.27913278|0.067322135|-0.087145984|-0.188184|-0.20130876|0.34253687|0.71508926|0.24026948|0.11538234|-0.0048877|0.6089383|-0.14533749|0.15953219|-0.4187337|-0.8110943|-0.46500266|0.24280468|0.199476|0.1051991|-0.566591|0.3393801|0.60169756|0.18676768|0.27736306|-0.1964876|-0.047879875|0.02530846|-0.50528544|-0.6563432|0.09121689|0.38946787|-0.53156877
7;0.69672185|-0.19336179|-0.32247984|0.3119583|-0.007381253|-0.40301904|0.25661972|0.28274792|-0.59447336|0.13538274|0.30506143|-0.19776899|0.49222088|0.035589755|0.27820545|0.072068535|0.025080174|0.12656876|-0.16863862|0.58583236|0.3167571|-0.55001146|-0.65051645|0.16165102|-0.49451393|-0.67712003|0.2001965|-0.4362502|-0.16824049|0.22676894|-0.48730713|-0.35656697|-0.56804657|0.33947107|-0.5454747|-0.20377015|0.5811434|-0.33320248|-0.17221187|0.21566561|-0.25558487|0.22535825|-0.49094218|-0.1752|0.10720347|-0.5190742|-0.2685997|0.29723027|0.38172603|0.16585764|0.35501063|0.3118578|0.45043823|0.15920009|0.35131678|-0.31409872|0.50779974|-0.5970261|-0.12706769|0.36533472|-0.47288465|0.40558094|-0.27543804|0.061092958|-0.036190275|-0.1807856|-0.29793268|0.46102494|0.41005197|-0.46318346|-0.39303786|-0.5657892|0.32576102|0.37555334|0.012683615|0.63832057|0.3762214|-0.25994846|-0.06555699|-0.17485383|0.37195775|-0.117945865|-0.32755238|-0.106412485|0.5035345|-0.42113188|-0.35266975|-0.084421754|-0.39022356|0.56835496|0.010110624|0.14771667|-0.30957153|0.27575564|0.005047247|-0.25411463|-0.42288026|0.44212228|-0.15887263|-0.7768994
8;0.6235943|-0.19015391|-0.4494949|0.32967186|-0.06791355|-0.40387014|0.5465329|-0.19192824|-0.5046396|-0.26756036|0.45218143|0.32500026|0.49287492|0.7467826|0.65851486|-0.06441414|0.50670356|0.17128168|0.020559907|0.6168037|0.15448898|-0.08151308|-0.053250104|-0.08261505|0.042263456|0.100713104|0.6700806|-0.21015042|-0.5973531|0.40217394|-0.24564317|0.07505846|-0.34368584|0.3562267|-0.3253763|-1.0284646|0.15857184|0.19627151|-0.71242905|0.111753345|-0.3309203|0.3242811|-0.39989686|0.67489547|0.24630193|-0.78890073|-0.25297546|0.3746652|0.6705489|0.54300797|0.2150721|0.41251957|0.39600697|-0.0025202185|0.17298642|0.23541918|0.7339958|-0.6584749|-0.52931035|0.5756505|-0.60144466|0.25460243|-0.81651986|0.45435917|0.4563443|-0.96874535|-0.55995953|-0.037956923|-0.20853701|-0.0578429|-0.7400857|-0.058657825|-0.20100543|-0.086800486|0.12826838|0.34322658|-0.025750399|-0.19789693|-0.25742334|0.3917139|-0.12129566|-0.6054536|0.18693024|-0.21647921|0.49451318|-0.5616839|-0.4362778|-0.5070612|-0.04496891|1.1301893|0.10510109|0.063270934|0.41747218|0.45091859|0.3718993|-0.26190117|-0.44915813|-0.53740054|-0.26171052|-0.46642897
9;0.6976752|-0.38097215|-0.12660883|0.32645553|-0.22285916|-0.19011249|0.7080786|0.21839239|-0.20654401|-0.015024424|0.230959|-0.19878113|0.46537393|0.4481507|0.2921245|0.16780812|0.28161767|0.21337728|-0.16571617|0.631951|0.47169903|-0.79010594|-0.33212072|0.29570773|-0.16304775|-0.49504423|0.43792522|-0.3351309|-0.5560944|0.09159374|-0.1833226|-0.10741806|-0.18190151|0.2335262|-0.6410165|-0.37819648|0.38001782|-0.3754799|-0.45911062|0.16596143|0.0021140277|0.40213683|-0.36676165|0.025434017|-0.27011117|-0.5979623|-0.5021248|0.43977493|0.3271366|0.42388952|0.50427204|0.33916718|0.3985162|0.024104342|0.65231246|-0.4082523|0.44642618|-0.28455636|-0.08165063|0.5639969|-0.6493832|0.3570935|-0.46347943|0.32909143|0.23794545|-0.38158327|-0.077406466|0.4833753|0.4375431|-0.30096078|-0.40197682|-0.46931955|0.20886052|0.12704903|-0.031069413|0.11750412|0.2700039|-0.25454792|0.110320464|0.16295679|-0.002196163|-0.104939505|-0.2416736|-0.010011047|0.36426538|-0.41070056|-0.5521074|-0.19660898|-0.28423214|0.4285163|-0.044804238|-0.06406366|-0.04816325|0.39675635|0.1216191|-0.43882415|-0.28743625|-0.095874935|-0.17003635|-0.48088744
