item_id;vectors
0;-0.47321874|-0.24204741|0.08666624|-0.3261362|-0.5675109|-0.12791759|0.013226479|-0.22396162|-0.2088222|0.5699599|0.8157963|0.54826605|-0.43714544|0.5642538|0.17846991|0.2627806|-0.036179036|0.21115729|0.41749448|0.4128492|0.48510623|-0.3549992|-0.16748723|-0.4411512|-0.7560389|0.61692494|-0.84777784|0.2079172|0.15439901|-0.35140663|0.32710955|0.5702737|0.69554067|-0.45328993|-0.5290465|0.47507393|0.16980937|0.5755396|-0.51920366|0.64337945|-0.08641398|-0.26456457|-0.24860743|-0.6540265|-0.41246426|0.14642256|-0.20684998|-0.6008551|-0.44014543|-0.23340218|0.07951346|-0.68268895|0.47752962|-0.50098425|-0.33941227|-0.1354697|0.5958786|-0.11843743|0.7871131|0.1090028|-0.2108526|-0.2883781|0.095418684|0.66027933|-0.17663704|0.39306605|-0.25755447|0.08378692|0.4892158|0.39890647|0.2655937|-0.34915873|-0.12102288|0.049671963|0.45296824|0.3077315|0.056984827|0.4199996|0.5335496|0.07481612|0.21579328|-0.5876328|-0.32769233|-0.20433149|-0.69981444|0.6082953|-0.1864622|0.4821403|0.29102737|0.3693254|0.3864563|0.57127225|0.18667771|-0.28597078|-0.45772296|0.21215916|-0.66816115|0.20986813|0.39855558|0.3055981
1;-0.47604427|-0.24527922|-0.0095679145|-0.41087675|-0.5135694|-0.24918826|0.27229568|-0.29469663|-0.2983598|0.36432847|0.41309977|0.4721515|-0.48042458|0.15320359|0.41400266|-0.20033088|0.33119714|0.13875493|0.4764522|0.39984676|0.3441974|-0.45079312|-0.20985965|-0.36136353|-0.31028873|0.31647202|-0.44442263|-0.16474526|0.45456415|-0.43234643|0.39282092|0.40714332|0.5054182|-0.39981923|-0.57517517|0.26002908|0.48304158|0.50676787|-0.19415393|0.27975363|-0.12825657|-0.25023192|0.3761238|-0.3654906|-0.42165264|0.0016167983|-0.15354529|-0.45318654|-0.3763447|-0.5903224|0.44321072|-0.15137097|-0.31131774|-0.3965894|-0.32049412|0.20010442|0.22052264|0.11950583|0.4596061|0.3656121|-0.018155362|-0.5188691|0.11446988|0.26672626|-0.36386383|0.3479557|0.21719071|-0.08937531|0.54681647|0.3665493|0.320504|0.17784788|-0.45463997|0.11123784|0.39305425|0.3404562|0.027766436|0.3987943|0.4648177|-0.22170338|0.499188|-0.3637454|-0.64837986|-0.23226765|-0.3913175|0.30326998|-0.34924784|0.21902885|0.30422497|0.07756199|0.13810804|0.614131|-0.16362439|-0.5531478|-0.470028|0.30741918|-0.48812458|0.21072242|0.5077453|0.32520515
2;-0.481391|-0.16957441|0.10709931|-0.31966507|-0.4735997|-0.14114507|0.40643272|-0.15612242|-0.38238937|0.4908514|0.3212633|0.31132087|-0.53277844|0.5072733|0.43447214|-0.2360994|0.30224124|0.16301468|0.45707843|0.17667215|0.45656717|-0.35739714|-0.23481768|-0.26497954|-0.36248666|0.28773433|-0.49212754|-0.20619565|0.40271825|-0.65047115|0.4564261|0.4142386|0.5359234|-0.30347738|-0.5573097|0.24958201|0.5255418|0.40181917|-0.29887486|0.15878025|0.1181913|-0.28119543|0.39965323|-0.26180422|-0.39334846|-0.16155145|-0.20526257|-0.4478386|-0.3777731|-0.52650297|0.47829413|-0.24853903|-0.06284512|-0.2790488|-0.3370219|0.08826128|0.19605502|0.19285485|0.45119798|0.4005986|-0.044789642|-0.3594717|-0.0064216927|0.14763245|-0.32003042|0.36520672|0.2606767|-0.26504374|0.5269974|0.28512412|0.17403978|0.21285658|-0.23383778|0.11909404|0.42980653|0.30489936|0.029798292|0.4166209|0.4949066|-0.10506967|0.37112257|-0.32503712|-0.51195145|-0.19675186|-0.49856496|0.096079744|-0.37431255|0.20743105|0.42614144|0.29655778|0.14910983|0.38874918|-0.0625994|-0.4941197|-0.37286192|0.34829462|-0.5904|0.46672803|0.34711123|0.30176204
3;-0.43037742|-0.11204152|-0.059399914|-0.3654881|-0.43454832|-0.3272975|0.15861858|-0.26624984|-0.3582694|0.4840928|0.37316653|0.36888614|-0.50147337|0.4311852|0.4631262|-0.18920884|0.3228963|0.14884523|0.43455893|0.2610468|0.3996137|-0.36590123|-0.26592353|-0.3971662|-0.39017352|0.4852373|-0.39087102|-0.19907118|0.47645837|-0.34900624|0.5054294|0.48428538|0.41294652|-0.3472524|-0.54044044|0.29655355|0.46688434|0.30924764|-0.25034118|0.31425357|0.023945937|-0.35496774|0.4169783|-0.31888846|-0.2887703|-0.11232847|-0.43055856|-0.5338544|-0.36478958|-0.3529063|0.567842|-0.25661594|-0.094735384|-0.20302646|-0.5128325|0.11515647|0.21033266|0.12374072|0.59734786|0.319807|-0.15973331|-0.554844|0.10721553|0.46687964|-0.3198743|0.31337112|0.2975647|-0.15281117|0.383379|0.5186115|0.37219775|0.17858598|-0.33564788|0.16579992|0.38344616|0.19615847|0.00792554|0.48099202|0.42583153|-0.15835483|0.36513725|-0.2404386|-0.5904667|-0.42118472|-0.41360524|0.22752237|-0.4594814|0.14013427|0.43014508|0.31644297|0.17750308|0.61348367|0.060260292|-0.3172201|-0.4629342|0.5974761|-0.55365205|0.41150126|0.47839946|0.23805042
4;-0.5107282|-0.19061862|0.15992697|-0.2855141|-0.477941|-0.35652918|0.2362842|-0.07229334|-0.46637127|0.5005574|0.36939806|0.5733132|-0.48897618|0.48644093|0.46221763|-0.16010201|0.32627806|0.04290723|0.5430726|0.1644306|0.44774726|-0.33165842|-0.018099159|-0.23609161|-0.30898952|0.29513514|-0.46749234|-0.2535798|0.39349094|-0.5533168|0.44508478|0.3557157|0.5000827|-0.3795024|-0.40255272|0.34060314|0.4506429|0.30981788|-0.26871538|0.13377324|0.018783178|-0.40021265|0.21064058|-0.16699383|-0.39632297|-0.058662023|-0.24557705|-0.40567514|-0.28936565|-0.31968808|0.39153516|-0.12995666|-0.09225225|-0.43049878|-0.4318739|-0.14595276|0.32204437|-0.059213154|0.47958896|0.25839996|-0.15617025|-0.43744183|0.053523876|0.35283196|-0.33555365|0.38101637|0.39884692|-0.1997376|0.3605246|0.47487402|0.20978351|0.2588468|-0.35087305|0.17831142|0.4775573|0.21214306|-0.0012518466|0.43551725|0.2931931|-0.16545017|0.45768514|-0.50732017|-0.5102556|-0.24372026|-0.44327056|0.27448225|-0.24586673|0.27794072|0.3319109|0.23903772|0.27312773|0.60590714|-0.15633263|-0.4406101|-0.5784637|0.5828436|-0.39525223|0.43242234|0.325692|0.18664071
5;-0.4129092|-0.2160215|-0.049946066|-0.25159547|-0.4884228|-0.2512356|0.23192954|-0.23958711|-0.295915|0.3504847|0.4014189|0.15173624|-0.4839285|0.3689501|0.35370976|-0.22629704|0.30884093|0.28445986|0.2861148|0.2665196|0.30804214|-0.68131053|-0.3047711|-0.22689328|-0.3850864|0.25747257|-0.65249264|-0.40143186|0.5474947|-0.5109003|0.40523332|0.44921273|0.48494112|-0.40950394|-0.48697364|0.13508165|0.3617344|0.27456656|-0.2847229|0.22635207|0.053046852|-0.21456885|0.43544954|-0.2864026|-0.53242505|0.08415591|-0.1763444|-0.40476054|-0.2667762|-0.4485486|0.54555815|-0.1805661|-0.081068665|-0.14137842|-0.61999685|0.10238334|0.30446678|-0.1142452|0.5559631|0.1981675|-0.18624584|-0.42779383|-0.07836851|0.28844523|-0.33938128|0.19705825|0.43643337|-0.17306995|0.65199816|0.2991966|0.17021826|0.32839492|-0.27720836|0.29692286|0.4173353|0.3425191|0.16930756|0.49826726|0.4375745|-0.2476985|0.48581105|-0.35860074|-0.49353838|-0.19278723|-0.2701076|0.3630641|-0.4957541|0.33648446|0.4593345|0.18546999|0.0059884787|0.56987953|0.07994847|-0.39838517|-0.5806369|0.5683964|-0.48279825|0.20690842|0.4877586|0.18232727
6;-0.44198215|-0.2136738|0.24187851|-0.63130677|-0.6556942|-0.1740373|-0.11957428|-0.18997261|-0.69118714|0.60059625|0.28150037|0.35048008|-0.38474792|-0.03766024|0.3539112|-0.07399157|0.7087124|0.060944438|0.6376084|0.3939408|-0.00869754|-0.48971412|-0.17295289|-0.52180785|-0.61090016|0.2021902|-0.6060394|-0.34408203|0.45702747|-0.44662642|0.814127|0.34780985|0.36658326|-0.24808225|-0.21479443|0.1407659|0.5523836|0.318439|-0.21439977|0.33325344|0.006781932|0.028527856|0.2631776|-0.3100943|-0.53264344|-0.066691466|-0.21659888|-0.47046164|0.028646916|-0.6929352|0.5179032|-0.074491546|-0.29809415|-0.31476632|-0.27318954|0.0871266|0.31054133|0.23311013|0.35862434|0.32225928|-0.021836521|-0.43514574|-0.39254257|0.14572299|-0.59078556|0.4273136|-0.39340335|-0.53060657|0.40983623|0.4440418|0.186039|0.30226368|-0.49244046|0.048029944|0.45505372|0.38320893|-0.0187826|0.35970715|0.3607079|-0.37949008|0.81428003|-0.25785804|-0.512056|-0.25800315|-0.9646065|-0.32362455|-0.56313884|0.32309532|0.27833483|0.52248436|-0.2237713|0.5892151|-0.2575917|-0.46907282|-0.011279106|0.77729356|-0.5875241|0.4575139|0.32835966|-0.29628485
7;-0.46779293|-0.13656878|0.10595174|-0.4346689|-0.50194085|-0.34700692|0.2996122|-0.16857372|-0.40442652|0.4245013|0.22490242|0.46801177|-0.47705245|0.2913663|0.43758246|-0.31175327|0.21911865|0.044336423|0.43714592|0.23261747|0.16701229|-0.6517751|-0.15072538|-0.34947082|-0.2851789|0.3990374|-0.28921115|-0.24145117|0.48513663|-0.56803566|0.34553057|0.3368677|0.42997697|-0.59554684|-0.78540117|0.11405331|0.50241816|0.14992353|0.07003899|0.090259954|-0.070255905|-0.25382933|0.38644606|-0.2827681|-0.37643868|-0.034737285|-0.23747955|-0.46230015|-0.49614105|-0.77223074|0.6607416|-0.1706072|0.08446415|-0.43137228|-0.23784328|0.1177076|0.1587764|0.1982382|0.5521951|0.4965587|-0.1444271|-0.36373147|0.10014635|0.19158877|-0.37917855|0.30551213|0.24279237|-0.2875195|0.44314975|0.37366337|0.30280313|0.30496764|-0.37359226|0.3553449|0.32307035|0.3654878|0.28660023|0.36258805|0.435258|-0.109691404|0.3959836|-0.29670116|-0.5646794|-0.2926785|-0.33069074|0.20831771|-0.49907643|0.2913096|0.3627909|0.2806328|0.12684001|0.5945213|0.09941405|-0.51603305|-0.14961067|0.4489299|-0.3853585|0.34324345|0.3786081|0.040830478
8;-0.30578142|0.024958372|0.035819612|-0.4138282|-0.326141|-0.48847097|0.141605|-0.19577788|-0.6668037|0.4790784|0.39283368|0.09593248|-0.28795803|0.3998166|0.48487386|-0.02439621|0.3777941|0.20697226|0.60926|0.24632783|0.19203182|-0.63081443|-0.0055229217|-0.7285793|-0.63908714|0.21026583|-0.4427147|-0.25748423|0.45496726|-0.30823547|0.48763448|0.38945606|0.26153237|-0.08427814|-0.33690307|0.02463089|0.43644673|0.30509448|-0.33190382|0.21353315|0.009345882|-0.25524476|0.43137944|-0.0954285|-0.45299098|-0.098235756|-0.19377035|-0.7256339|-0.52111286|-0.6326384|0.5549464|-0.0284587|-0.20900676|-0.28087774|-0.6111691|0.08969906|0.20853812|-0.081927486|0.0097286105|0.22104466|-0.21779965|-0.50131416|0.11700754|0.09425664|-0.5405412|0.36641538|0.21301979|-0.31142983|0.4085096|0.6145687|0.2633775|0.52535236|-0.40416652|0.13202317|0.3580081|0.256715|0.31256527|0.4236858|0.4485427|-0.32770282|0.46631765|-0.18343034|-0.7178712|-0.2488992|-0.31759927|0.47535783|-0.4609093|0.5986143|0.33348194|0.04116726|0.11733554|0.5701217|-0.19240524|-0.3882956|-0.7863218|0.5006349|-0.46241832|0.30296868|0.36553174|-0.0149179995
9;-0.486127|-0.24143937|-0.0640984|-0.3268656|-0.34465575|-0.14502326|0.16410932|-0.26073572|-0.31095275|0.5372024|0.3859893|0.34283593|-0.45952067|0.17599078|0.3770148|-0.17843425|0.19101878|0.19285464|0.4949161|0.3082005|0.43905258|-0.56935704|-0.21458866|-0.42356336|-0.47986135|0.33767283|-0.19512108|-0.16047344|0.42175144|-0.55651426|0.34012336|0.48614842|0.30995867|-0.5419449|-0.53524464|0.29511392|0.35194564|0.31586444|-0.27186143|0.1745385|-0.13093165|-0.21466091|0.47351724|-0.33802494|-0.3682917|0.10221509|-0.12267393|-0.46088412|-0.48599643|-0.41341755|0.37303537|-0.084367335|-0.14504911|-0.4106914|-0.40077212|0.03709496|0.27097088|0.11174995|0.4943442|0.33305368|0.049692255|-0.33359742|0.0873826|0.23161724|-0.42737755|0.17934993|0.31070453|-0.11821479|0.6709462|0.3401827|0.13611145|0.2300436|-0.28513283|0.18067251|0.4128411|0.3659672|-0.032357916|0.34032235|0.38543293|-0.07476479|0.2718338|-0.42426303|-0.75468946|-0.43410474|-0.19430698|0.17342135|-0.3908732|0.20153055|0.27186462|0.16060373|0.15444523|0.55900085|-0.13840991|-0.53999937|-0.5728241|0.48938468|-0.59356034|0.0017770529|0.5008981|0.2883206
