item_id;vectors
0;-0.6031133|-0.7780082|-0.9204452|-0.03978449|0.75884295|0.48896962|0.46704233|0.101117134|0.3208157|0.8672211|0.40196505|0.56871223|0.021137342|0.50834465|-0.27632403|0.0935372|0.029137835|0.52722543|-0.37811464|-0.099278465|-0.6859468|0.048780948|-0.2771955|1.099586|-0.93596315|0.31275228|0.15109971|-0.1392605|0.3064212|-0.47016376|0.3083214|0.016406924|0.09524787|0.18841806|-0.054557562|0.18564072|0.55664814|-0.3161684|-0.28243598|-0.13729675|-0.17630096|-0.10866824|-0.825096|-0.23111671|0.2350674|0.5076916|-0.027037024|0.037665382|-0.35073152|0.08732289|1.3257661|0.03316803|0.38546473|0.4472531|0.7678669|1.7015016|-0.11872029|-0.004451707|-1.0156212|0.12241101|-0.41531968|0.14592332|0.9746225|0.12430042|-0.5784175|0.46578154|0.24705087|0.08527142|-0.7894078|0.11818541|-0.6246111|2.1353664|0.3488488|-0.5027027|0.3603827|-0.4789465|-0.6412284|0.16529667|-0.18751296|1.0501692|-0.15989955|-0.7365153|0.51264066|0.1626578|0.35278645|-0.22571668|-0.80126035|-0.14073068|-0.7087797|0.35625604|-0.8866223|-0.64418334|-0.0020165592|-0.51854205|0.84879935|0.89206326|-1.4247612|0.026776165|0.4541418|-0.7068261
1;0.552838|-0.65392303|-0.939628|-0.06709966|0.43365318|-0.7560837|0.39009893|-0.17926052|0.028963521|0.91513646|0.32621625|-0.39771053|0.15010208|-0.62792283|0.50960505|-0.07442246|0.2700081|0.18622191|0.18101844|-0.35161003|-0.17866585|-0.2565986|-0.7740228|1.050101|0.17335242|0.117684|-0.07242322|-0.39371973|0.0024281405|-0.45118853|1.0709875|-0.12805857|-0.5452217|-0.85940087|-0.038155913|0.68897325|0.6793222|0.12073851|0.43987843|-0.42988163|0.12076938|-0.58703375|-0.86749196|0.36443305|-0.24994947|0.23482834|0.2889218|-0.19626787|-0.51595926|-0.738085|-0.11338264|-0.08635949|0.106660396|0.67903304|1.1996983|0.30594417|-0.25651103|0.5892217|-0.28243738|-1.1280756|0.012387589|0.18829943|-0.56554335|-0.44023755|-0.96777767|0.3853932|0.09714417|-0.35097826|0.50056905|0.26478228|-0.37675613|0.5998294|-0.33537084|0.60470605|-0.46637568|0.31400588|0.051744834|0.54832566|0.16804448|0.051754743|-0.22154501|-0.01386717|0.5606102|0.2377162|0.6784862|-0.152076|-0.7470107|-0.080860674|-0.05453437|0.19798112|-0.29518473|-0.6769183|0.16443488|-0.69841367|-0.0140067935|0.2000233|-0.3005924|0.4881115|0.6314254|-0.45732158
2;-0.034188986|0.33342224|-0.28825182|0.7270888|0.841153|0.22786729|0.69296217|-0.0044818223|0.12834615|0.90544456|-0.3248135|-0.2536595|-0.23616442|-0.7263886|0.0675714|0.4225446|-0.111988604|-0.13785264|-0.39674848|-0.18845603|0.19299427|-0.5458647|0.36967248|1.1135359|-0.68144727|-0.16789195|0.26137888|0.22128782|0.038360573|0.092491984|1.0402194|-0.8148459|-0.1256818|-0.4114299|-0.62100035|0.61530936|-0.18046078|0.5326762|-0.27383322|-0.55015135|0.52809894|-0.51671654|-1.0847273|-0.07917473|-0.03524156|0.4902342|0.2857766|-0.4881133|-0.8508357|-0.20336151|0.4430546|0.060393374|-0.48047876|0.54901546|0.02425307|0.8381616|0.09728414|-0.4767543|-0.3965696|0.17917114|0.6870119|0.6852879|-0.061093688|-0.6451303|-0.99830747|0.9307498|0.5235922|-0.8137355|0.0007741377|0.019472167|-0.20590156|0.08367887|0.03271933|-0.086096734|-0.7806845|-0.29548132|0.09897748|0.56409746|-0.15962288|0.83198535|0.24429956|-0.85037625|0.6883416|-0.46193516|0.63584906|-0.23027687|-0.46593547|0.51732576|0.25831243|0.40521187|-0.3184564|0.3469987|0.02929151|-0.42326906|0.53543204|0.70740986|-0.37734088|0.16461492|0.46027863|-0.15273003
3;0.9891726|-0.30255827|-0.45985317|0.07157533|1.1630673|0.23430674|-0.0014082342|0.40095782|0.35131595|0.32823145|0.425534|0.011180878|0.47531796|-0.91820335|-0.55753815|0.22473791|0.42733008|-0.07047185|0.119410984|-0.24356474|-0.5869086|-0.7082074|0.36239302|0.66398895|-1.379425|-0.053956453|-0.16582593|-0.074212015|0.058758743|-0.6139501|-0.01536423|-0.26606214|-0.4531104|-0.82688856|-0.3317032|0.22978646|0.91303754|0.52185595|0.22644405|-0.051479787|0.3737561|-0.27665722|-0.51911235|-0.05994378|-0.15142284|-0.035014212|0.7818749|-0.04014349|-0.77501297|-0.33467713|0.7936422|-0.3518492|-0.13758156|0.920418|1.0159378|0.49712503|-0.6286769|-0.5049657|-0.40111643|-0.52380526|-0.046890248|0.10073665|0.09101735|-0.6483884|-0.06783646|0.69273585|0.76627254|-0.25955045|-0.17415133|-0.23537461|-0.37394997|0.17507547|0.18323973|1.062572|-0.13127881|0.2872176|0.2971064|0.5938854|0.22786447|0.82903445|-0.030239813|-0.86386013|0.39193922|-1.0850902|0.36294526|-0.33293834|-0.98589706|0.99642277|-0.3908112|0.2848207|-0.22294769|0.4271857|0.54242986|0.008195907|-0.24500093|0.49229014|-0.6944575|0.5427897|0.3668326|-0.8889813
4;0.20766123|-0.4784901|-0.1332529|0.2403685|0.8885392|-0.34816864|0.37196353|0.72960925|-0.4468918|0.25063837|0.12633052|-0.43244627|0.42302132|-0.000114798546|0.060832255|-0.478569|0.5405518|0.60604936|0.24559921|-0.22244292|-0.6737945|0.2628021|-0.46653062|1.475814|-0.5186806|-0.045710575|0.3857163|0.067255974|0.3070366|-0.16610967|0.36595267|-0.17771637|-0.14388648|-0.03471756|-0.8144555|-0.56733423|0.19713104|0.31253022|0.25568298|0.21939176|-0.38838828|0.70183|-0.33233732|-0.3942443|0.0312652|0.46613696|0.998942|0.5904|-0.40370333|-0.94971365|0.15046091|-0.14524959|-0.16790548|0.8546257|0.44097537|0.9132298|-1.0214599|0.13078997|-0.9921521|-0.5046921|-0.12862748|0.7560135|-0.48798788|-0.07712692|-0.90527725|1.179879|-0.4980284|-0.28088644|-0.023304306|0.29533702|-0.59543425|-0.10117841|0.22254126|0.68294996|0.36160937|0.56135136|0.3637006|0.59348494|0.7154323|0.21259813|0.49034595|-0.07081878|0.21111518|-0.85643053|0.89928305|-0.0030754637|-0.87569374|0.7460573|0.18296656|0.5399496|-1.133515|-0.3073511|0.15264279|-0.5286489|-0.14842251|0.71353257|-0.51535714|0.48386955|0.3003874|-0.40107283
5;0.40181488|-0.109924585|-0.5253933|-0.22821292|0.4975794|0.44210398|0.4044024|-0.08104524|0.14173773|0.37708598|0.32067785|-0.56279373|0.032162413|-1.0753014|0.036789265|-0.03852319|-0.06632042|0.55471236|-0.6801197|-0.40318555|-0.48104975|-0.54180366|-0.48151118|0.4640571|-0.95729506|-0.20046878|-0.104927|0.13073733|-0.66327226|0.0434684|0.7027268|-0.21031593|0.0019453093|-0.3759422|-1.0962074|0.49152786|0.33689058|1.4992834|0.1530748|-0.05113557|0.08663896|-0.07876268|-0.5001404|0.31571066|-0.6624924|0.36526513|1.3850086|-0.1535537|-0.8561721|-0.86393404|-0.24074695|0.051849816|0.55157334|0.77956027|0.5555046|0.35113886|-0.24981971|0.42457303|-0.558087|-0.941355|0.15553711|0.27102312|-0.5432428|0.15275991|-0.9382851|0.45680755|0.36767083|-0.1484102|-0.10551984|-0.009770453|-0.6168237|0.54553235|0.06261158|0.95893663|-0.5915257|-0.29504472|0.28731987|-0.4029031|0.53602225|0.102945626|-0.2622786|-0.5975428|-0.5967447|-0.5100576|0.3711425|0.3500696|-1.160767|0.77234316|0.38008732|0.3917149|-0.2505824|-0.5395663|-0.13933915|-0.68832195|0.3087417|0.51664215|-1.191432|0.5885167|-0.32698628|0.4895981
6;0.053917408|-0.5352929|0.0041532516|0.555508|1.126648|0.5169373|1.1226993|0.28145576|-0.40845132|0.3180036|0.39011872|-1.3173901|-0.03380081|-0.2885726|-0.24328396|-0.06427894|-0.36212015|0.014865696|0.7989767|-1.2720854|0.42022428|-0.3935489|-0.3592305|0.061249673|-0.30287954|-0.21681318|0.69578815|0.41264227|0.251837|-0.78167915|0.1860292|-0.7462957|0.06508208|-0.022734195|-0.7490275|0.5839555|0.13363345|-0.07948801|-0.0291069|-0.5452574|-0.5393603|0.11600092|-1.140254|-0.059343256|-0.80333304|-0.12137848|-0.27351978|-0.0914161|-0.30282634|0.021339118|0.17944929|-0.7852069|0.45787233|0.741186|1.0684776|0.7454384|-0.21843493|-0.50533396|-0.3146371|0.7425635|-0.16182764|0.8969343|-1.0773|0.08727655|-0.39756063|0.7730139|0.2657769|0.103529125|-0.06622868|0.4725772|-0.6831656|-0.083135545|0.7477635|-0.06263566|-0.22394484|0.07029331|0.48918083|0.23165731|0.4446415|-0.45925656|0.5499864|-1.1919651|0.75223446|-0.99050754|0.21474014|1.0559347|-1.1313769|0.5921797|0.08360117|0.074999094|-0.002549678|0.66275144|0.51856184|0.004290104|0.13577637|-0.12727177|0.08345896|0.040144295|0.45220664|-0.60276335
7;-0.24846098|-0.6449505|-0.7584984|0.064589724|0.91087145|-0.042586043|-0.0359267|0.5041721|-0.5868469|0.83127326|0.08340421|-0.5898589|-0.44423765|-0.007840276|0.052825604|0.074190214|0.100174755|0.33317393|0.26237166|-0.059205145|0.35104182|0.28074053|0.06492934|0.13459134|-0.04727465|0.035266705|0.5473793|-0.90453124|-0.025375409|0.68404126|0.91112405|0.56136346|-0.36909342|-0.607217|-1.2076368|0.42838472|-0.25914145|0.26458746|0.22259022|-0.5656|-0.027624205|-0.6375262|-0.93561715|0.4935202|-0.2895027|0.80742097|0.27146545|0.28604898|-0.16713883|-0.9303987|-0.16133524|0.5337308|0.02853734|0.637022|0.77560925|0.6063003|-0.29087898|-0.9782616|-0.2034207|0.00050616264|0.7769442|1.2147958|0.23585005|-0.10174616|-1.1104865|1.0024947|-0.13407314|-0.35834792|-0.17600945|0.032434493|-0.11335334|0.51083636|0.1609699|0.8673199|0.09974766|0.0203216|0.20956561|0.25277096|0.42326403|0.3568079|0.3538889|0.41350237|-0.15627566|0.40514052|0.44680074|0.21699457|-0.3811073|0.10375482|0.4329385|0.29409277|-0.18061382|-0.45585486|0.352405|-1.1793642|0.16106889|0.86039215|-0.21644498|0.66769075|0.6772631|0.0460912
8;0.61393476|-0.7044071|0.0622575|0.25447643|1.0529609|0.75686777|0.009385824|-0.19083744|-0.7093378|0.87650955|0.90240264|0.01338318|0.5076319|-0.67058474|0.6130421|0.031859808|-0.53078717|0.70154905|-0.38928378|0.15874651|0.66406786|-0.8479402|-1.5936503|-0.1282093|-0.4473802|-0.036662415|-0.22294584|-0.18442957|-0.064586714|-0.9636953|0.56145996|-0.45810488|-0.9466697|-0.23586291|-0.5158898|0.28266525|0.07517739|1.775068|0.07510994|0.15703017|0.3024838|0.2602234|-0.7219791|-0.37968606|-0.67520183|-0.1730203|0.34790486|-0.8404541|-0.5142935|-0.57307583|-0.26515934|-0.057680935|0.19486699|0.19452411|0.54982966|0.23558179|-0.23887506|0.3667514|0.0077554584|-0.38189209|-1.0738399|-0.4655697|0.091545686|-0.09509203|-0.9850228|0.9806106|0.46923965|0.12163389|0.45625573|0.11867734|-0.4820958|0.7724447|0.51895064|0.8855387|-0.708297|0.0076568127|-0.11572459|0.06556168|0.50200933|0.6315186|0.6449146|-0.20130289|-0.14120784|-0.7385956|0.3017243|0.36909738|0.05301696|0.51663977|0.59888405|-0.029678732|-0.31309074|-0.41480032|0.7792774|0.4468361|0.7266088|-0.45026052|-0.81694996|0.40648443|0.36666802|0.38209075
9;0.06618425|-0.77174|0.16573024|0.016757041|0.6240753|0.09724565|0.1575331|-0.21648115|-0.13670135|1.1476843|0.76186764|-0.50232583|0.43401873|-0.37146044|0.9812849|-0.8932357|0.12650076|0.20813717|-0.21710663|-0.06955154|-0.13081612|-0.33188796|-0.08869021|0.16911477|-0.27654538|-0.52035344|0.08899075|0.22023392|-0.22167088|0.4749888|0.76390153|-0.77598304|-0.6763392|-0.02878797|-0.8438458|0.47731054|0.4791952|0.6079785|-0.3402878|0.17369884|0.21905307|-0.7915251|-0.79407257|0.3033898|-0.20291375|0.18637341|0.032046065|0.01444535|-0.59592867|-0.7909305|-0.40504295|-0.9683465|-0.17652336|1.282649|0.6248802|1.1554015|-0.6357061|0.35459706|-0.5509548|-0.25183064|-0.6719057|0.11683124|-0.23028514|-0.50601536|-0.48551428|0.66044265|0.02320905|-0.17930004|0.88036305|0.5541738|-0.22832201|1.1529024|0.5103227|0.077409|0.3958963|0.049769253|-0.43178144|0.047785938|0.7131629|0.18926203|-0.25925174|0.09442085|0.057629526|-0.62644273|0.35646176|-0.13248162|-0.6393093|0.19496773|0.3124248|0.15382165|-0.26413858|0.29313874|0.17400111|-0.250125|0.18364319|0.63316244|-0.5212558|0.36144423|0.6705744|0.13732693
