state;action_reward;n_state
343&3|278&4|310&3|893&3|879&3|313&5|310&3|286&1|742&3|313&5|742&3|893&3;274&4|294&4|294&4|763&4|298&5|294&4|763&4|237&5|271&4|294&4;343&3|278&4|310&3|893&3|879&3|313&5|310&3|286&1|742&3|313&5|742&3|893&3|274&4|294&4|294&4|763&4|298&5|294&4|763&4|237&5|271&4|294&4
272&4|22&4|332&3|79&4|1210&3|402&4|22&4|22&4|1206&3|366&3|765&3|550&3;364&3|575&3|780&3|401&3|944&3|364&3|1179&2|63&3|63&3|367&3;272&4|22&4|332&3|79&4|1210&3|402&4|22&4|22&4|1206&3|366&3|765&3|550&3|364&3|575&3|780&3|401&3|944&3|364&3|1179&2|63&3|63&3|367&3
245&2|756&2|56&3|169&5|278&3|501&3|111&4|167&3|274&5|69&4|300&4|181&3;568&4|233&3|685&3|195&4|143&4|405&4|225&3|402&3|402&3|161&4;245&2|756&2|56&3|169&5|278&3|501&3|111&4|167&3|274&5|69&4|300&4|181&3|568&4|233&3|685&3|195&4|143&4|405&4|225&3|402&3|402&3|161&4
14&3|235&5|279&3|288&2|508&4|25&1|117&3|276&4|121&4|276&4|117&3|546&1;841&2|756&4|122&3|405&2|411&3|411&3|122&3|756&4|1134&2|717&4;14&3|235&5|279&3|288&2|508&4|25&1|117&3|276&4|121&4|276&4|117&3|546&1|841&2|756&4|122&3|405&2|411&3|411&3|122&3|756&4|1134&2|717&4
750&4|736&5|151&4|750&4|70&5|181&4|70&5|1022&4|151&4|259&3|58&4|70&5;50&5|258&5|50&5|28&5|28&5|50&5|1&4|50&5|111&5|28&5;750&4|736&5|151&4|750&4|70&5|181&4|70&5|1022&4|151&4|259&3|58&4|70&5|50&5|258&5|50&5|28&5|28&5|50&5|1&4|50&5|111&5|28&5
183&5|194&3|33&4|659&4|23&4|466&4|183&5|273&4|265&3|517&3|98&5|173&3;294&2|695&3|789&3|591&3|695&3|8&3|203&4|410&3|695&3|56&3;183&5|194&3|33&4|659&4|23&4|466&4|183&5|273&4|265&3|517&3|98&5|173&3|294&2|695&3|789&3|591&3|695&3|8&3|203&4|410&3|695&3|56&3
269&4|689&3|300&4|748&2|304&4|258&5|286&4|269&4|301&4|269&4|690&3|749&4;323&4|343&4|323&4|332&2|328&3|328&3|332&2|343&4|307&3|323&4;269&4|689&3|300&4|748&2|304&4|258&5|286&4|269&4|301&4|269&4|690&3|749&4|323&4|343&4|323&4|332&2|328&3|328&3|332&2|343&4|307&3|323&4
300&4|294&2|310&4|310&4|325&3|324&4|310&4|346&5|678&1|313&4|324&4|258&5;433&5|886&4|11&5|100&5|100&5|11&5|100&5|690&4|100&5|690&4;300&4|294&2|310&4|310&4|325&3|324&4|310&4|346&5|678&1|313&4|324&4|258&5|433&5|886&4|11&5|100&5|100&5|11&5|100&5|690&4|100&5|690&4
513&4|527&3|469&4|132&3|811&4|100&1|23&4|302&4|606&4|647&5|469&4|653&5;39&3|1204&5|252&1|257&3|487&4|96&4|252&1|640&4|673&3|190&4;513&4|527&3|469&4|132&3|811&4|100&1|23&4|302&4|606&4|647&5|469&4|653&5|39&3|1204&5|252&1|257&3|487&4|96&4|252&1|640&4|673&3|190&4
243&4|210&5|300&5|181&5|96&5|118&5|687&4|1117&2|289&3|50&5|15&4|237&4;183&5|55&5|144&5|261&5|172&5|144&5|183&5|195&5|261&5|79&5;243&4|210&5|300&5|181&5|96&5|118&5|687&4|1117&2|289&3|50&5|15&4|237&4|183&5|55&5|144&5|261&5|172&5|144&5|183&5|195&5|261&5|79&5
507&4|276&4|276&4|690&1|298&5|340&4|615&4|521&4|7&4|294&4|6&5|6&5;483&5|483&5|286&5|483&5|483&5|487&5|385&5|286&5|691&5|286&5;507&4|276&4|276&4|690&1|298&5|340&4|615&4|521&4|7&4|294&4|6&5|6&5|483&5|483&5|286&5|483&5|483&5|487&5|385&5|286&5|691&5|286&5
520&4|292&3|15&4|276&3|276&3|292&3|181&3|515&5|181&3|15&4|988&2|245&3;199&4|199&4|286&3|242&4|286&3|199&4|199&4|286&3|483&3|269&4;520&4|292&3|15&4|276&3|276&3|292&3|181&3|515&5|181&3|15&4|988&2|245&3|199&4|199&4|286&3|242&4|286&3|199&4|199&4|286&3|483&3|269&4
301&4|301&4|100&5|748&4|358&3|294&3|748&4|322&4|294&3|321&2|100&5|748&4;879&4|328&4|333&5|328&4|333&5|300&4|258&4|328&4|879&4|300&4;301&4|301&4|100&5|748&4|358&3|294&3|748&4|322&4|294&3|321&2|100&5|748&4|879&4|328&4|333&5|328&4|333&5|300&4|258&4|328&4|879&4|300&4
