state;action_reward;n_state
2772&3|1198&5|2915&4|2916&5|3769&4|2167&3|1194&4|610&5|3543&4|3461&4|356&5|3037&5;3087&4|2001&5|317&3|3264&4|3157&4|317&3|3157&4|586&4|597&3|2252&4;2772&3|1198&5|2915&4|2916&5|3769&4|2167&3|1194&4|610&5|3543&4|3461&4|356&5|3037&5|3087&4|2001&5|317&3|3264&4|3157&4|317&3|3157&4|586&4|597&3|2252&4
1393&5|145&4|39&4|1883&4|318&5|1573&4|595&5|2413&3|3623&3|368&4|1991&2|2502&5;1689&5|252&4|3146&2|2628&4|1866&3|1517&5|3120&3|1689&5|215&5|1127&5;1393&5|145&4|39&4|1883&4|318&5|1573&4|595&5|2413&3|3623&3|368&4|1991&2|2502&5|1689&5|252&4|3146&2|2628&4|1866&3|1517&5|3120&3|1689&5|215&5|1127&5
2115&3|1610&4|3831&4|1196&3|1172&4|2858&5|3897&4|1923&5|86&4|788&1|3052&3|3083&5;3033&2|1233&5|2321&4|1573&3|2021&4|3418&4|2021&4|2268&3|11&3|11&3;2115&3|1610&4|3831&4|1196&3|1172&4|2858&5|3897&4|1923&5|86&4|788&1|3052&3|3083&5|3033&2|1233&5|2321&4|1573&3|2021&4|3418&4|2021&4|2268&3|11&3|11&3
1929&3|926&5|3712&2|951&5|1952&2|390&3|1193&5|390&3|2870&2|2398&5|3088&4|973&4;2939&1|2186&2|1086&2|2939&1|2186&2|2078&4|1267&5|928&3|2186&2|1267&5;1929&3|926&5|3712&2|951&5|1952&2|390&3|1193&5|390&3|2870&2|2398&5|3088&4|973&4|2939&1|2186&2|1086&2|2939&1|2186&2|2078&4|1267&5|928&3|2186&2|1267&5
2263&4|2879&4|1729&5|223&3|3267&5|457&5|2034&3|1771&3|208&5|986&4|1731&3|2072&2;2860&3|2860&3|1361&5|2488&4|3951&5|2369&1|2111&4|1464&5|1796&4|248&4;2263&4|2879&4|1729&5|223&3|3267&5|457&5|2034&3|1771&3|208&5|986&4|1731&3|2072&2|2860&3|2860&3|1361&5|2488&4|3951&5|2369&1|2111&4|1464&5|1796&4|248&4
3052&5|3175&3|2858&4|593&5|3081&4|1270&4|3176&4|3081&4|2995&3|2995&3|2858&4|3052&5;3113&5|3717&3|3717&3|3113&5|3755&3|3113&5|3617&4|3717&3|3755&3|3755&3;3052&5|3175&3|2858&4|593&5|3081&4|1270&4|3176&4|3081&4|2995&3|2995&3|2858&4|3052&5|3113&5|3717&3|3717&3|3113&5|3755&3|3113&5|3617&4|3717&3|3755&3|3755&3
3948&5|1276&4|1136&5|1265&5|733&4|1197&4|1968&3|3388&2|2997&4|1968&3|733&4|1136&5;905&3|2064&3|2355&5|2791&4|2064&3|2791&4|2355&5|2791&4|2064&3|2064&3;3948&5|1276&4|1136&5|1265&5|733&4|1197&4|1968&3|3388&2|2997&4|1968&3|733&4|1136&5|905&3|2064&3|2355&5|2791&4|2064&3|2791&4|2355&5|2791&4|2064&3|2064&3
2771&3|3421&2|2369&3|1639&4|2369&3|34&2|2858&2|2145&4|2997&5|2997&5|318&5|1639&4;2763&5|3893&2|2724&2|2724&2|2763&5|3893&2|2581&3|2714&4|2724&2|2581&3;2771&3|3421&2|2369&3|1639&4|2369&3|34&2|2858&2|2145&4|2997&5|2997&5|318&5|1639&4|2763&5|3893&2|2724&2|2724&2|2763&5|3893&2|2581&3|2714&4|2724&2|2581&3
1357&4|1909&4|2324&5|1721&4|663&4|1265&2|2064&5|539&3|2331&4|1293&4|318&5|1307&4;3476&4|2336&4|1611&3|3552&2|2369&3|337&4|593&5|1135&1|3707&2|2469&3;1357&4|1909&4|2324&5|1721&4|663&4|1265&2|2064&5|539&3|2331&4|1293&4|318&5|1307&4|3476&4|2336&4|1611&3|3552&2|2369&3|337&4|593&5|1135&1|3707&2|2469&3
2683&5|2683&5|2858&4|2413&4|1127&5|2683&5|912&3|1688&2|1367&2|3285&4|2826&3|912&3;1911&2|1093&3|2881&1|2881&1|2541&2|2722&3|1093&3|2722&3|1093&3|1093&3;2683&5|2683&5|2858&4|2413&4|1127&5|2683&5|912&3|1688&2|1367&2|3285&4|2826&3|912&3|1911&2|1093&3|2881&1|2881&1|2541&2|2722&3|1093&3|2722&3|1093&3|1093&3
