state;action_reward;n_state
67154&4|35234&3|11063&4|59309&4|66475&3|62295&3|6654&3|79748&3|67154&4|4542&3|77396&5|62430&4;4404&3|68328&4|36418&3|8261&5|7748&4|10569&4|29130&5|21159&5|7739&5|4404&3;67154&4|35234&3|11063&4|59309&4|66475&3|62295&3|6654&3|79748&3|67154&4|4542&3|77396&5|62430&4|4404&3|68328&4|36418&3|8261&5|7748&4|10569&4|29130&5|21159&5|7739&5|4404&3
27765&4|39035&3|76062&4|79726&5|38030&5|68185&4|22003&5|27765&4|39035&3|30793&4|27765&4|79726&5;46990&4|29118&5|21485&4|49168&3|7205&5|45170&4|46609&3|2317&3|19776&4|19776&4;27765&4|39035&3|76062&4|79726&5|38030&5|68185&4|22003&5|27765&4|39035&3|30793&4|27765&4|79726&5|46990&4|29118&5|21485&4|49168&3|7205&5|45170&4|46609&3|2317&3|19776&4|19776&4
3023&4|55221&5|22316&5|41384&5|56159&5|4593&5|29670&4|29708&5|10294&4|10784&4|2978&4|74852&3;7112&5|43089&2|53976&3|46872&4|50229&4|45411&4|14478&4|53976&3|47114&5|35419&3;3023&4|55221&5|22316&5|41384&5|56159&5|4593&5|29670&4|29708&5|10294&4|10784&4|2978&4|74852&3|7112&5|43089&2|53976&3|46872&4|50229&4|45411&4|14478&4|53976&3|47114&5|35419&3
57424&5|69692&5|57424&5|5801&5|11799&5|5801&5|33277&5|31&3|5238&5|58179&5|31&3|58179&5;5969&5|5969&5|27202&5|5326&5|5969&5|27202&5|5969&5|5969&5|5326&5|5326&5;57424&5|69692&5|57424&5|5801&5|11799&5|5801&5|33277&5|31&3|5238&5|58179&5|31&3|58179&5|5969&5|5969&5|27202&5|5326&5|5969&5|27202&5|5969&5|5969&5|5326&5|5326&5
42229&3|23855&3|32433&3|38929&4|37035&2|38977&4|603&4|60156&3|35672&3|24515&5|3954&4|34202&3;49530&2|53905&3|49356&3|45294&3|50093&2|28268&3|73370&4|49718&3|72139&3|13303&4;42229&3|23855&3|32433&3|38929&4|37035&2|38977&4|603&4|60156&3|35672&3|24515&5|3954&4|34202&3|49530&2|53905&3|49356&3|45294&3|50093&2|28268&3|73370&4|49718&3|72139&3|13303&4
10237&4|40202&3|4578&4|78735&5|19389&5|22524&3|6927&5|10604&5|6827&5|17798&5|4975&3|4170&3;47504&5|6762&5|51994&1|12223&5|30260&3|14485&5|46335&5|30260&3|6762&5|46335&5;10237&4|40202&3|4578&4|78735&5|19389&5|22524&3|6927&5|10604&5|6827&5|17798&5|4975&3|4170&3|47504&5|6762&5|51994&1|12223&5|30260&3|14485&5|46335&5|30260&3|6762&5|46335&5
35480&5|5464&3|19660&4|36476&3|8333&4|37254&4|35480&5|36476&3|5464&3|36476&3|8333&4|35480&5;13899&4|69591&4|69591&4|7246&3|69591&4|69591&4|13899&4|7246&3|69591&4|69591&4;35480&5|5464&3|19660&4|36476&3|8333&4|37254&4|35480&5|36476&3|5464&3|36476&3|8333&4|35480&5|13899&4|69591&4|69591&4|7246&3|69591&4|69591&4|13899&4|7246&3|69591&4|69591&4
76814&4|70268&3|5524&5|65064&4|76430&4|19638&4|70268&3|65064&4|65162&4|54590&5|4754&5|19638&4;32467&4|32467&4|32377&4|32377&4|32377&4|32377&4|32377&4|22919&3|31608&5|31608&5;76814&4|70268&3|5524&5|65064&4|76430&4|19638&4|70268&3|65064&4|65162&4|54590&5|4754&5|19638&4|32467&4|32467&4|32377&4|32377&4|32377&4|32377&4|32377&4|22919&3|31608&5|31608&5
38959&4|41383&4|80&4|38&5|70840&4|37229&4|33027&2|38&5|37229&4|80&4|33027&2|38959&4;44985&4|44985&4|44985&4|48902&4|44985&4|48968&3|48902&4|48968&3|38100&4|48902&4;38959&4|41383&4|80&4|38&5|70840&4|37229&4|33027&2|38&5|37229&4|80&4|33027&2|38959&4|44985&4|44985&4|44985&4|48902&4|44985&4|48968&3|48902&4|48968&3|38100&4|48902&4
22904&3|66422&3|16137&5|77236&4|5119&3|66422&3|5173&4|66422&3|6100&4|5645&5|5119&3|69494&4;62559&4|63349&5|63349&5|62559&4|22831&3|22831&3|63349&5|62559&4|62559&4|62559&4;22904&3|66422&3|16137&5|77236&4|5119&3|66422&3|5173&4|66422&3|6100&4|5645&5|5119&3|69494&4|62559&4|63349&5|63349&5|62559&4|22831&3|22831&3|63349&5|62559&4|62559&4|62559&4
6824&5|22840&4|7349&5|38982&5|7057&5|76296&5|17552&4|56795&4|78120&4|59416&5|55195&5|73070&5;49877&5|43748&5|49507&5|45696&5|38910&4|41617&5|62469&5|8091&5|38759&4|73508&4;6824&5|22840&4|7349&5|38982&5|7057&5|76296&5|17552&4|56795&4|78120&4|59416&5|55195&5|73070&5|49877&5|43748&5|49507&5|45696&5|38910&4|41617&5|62469&5|8091&5|38759&4|73508&4
5719&5|4150&4|4150&4|5719&5|21367&5|4150&4|21367&5|5719&5|4150&4|4150&4|5719&5|4150&4;22359&5|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5;5719&5|4150&4|4150&4|5719&5|21367&5|4150&4|21367&5|5719&5|4150&4|4150&4|5719&5|4150&4|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5|22359&5
4620&5|14996&5|35216&5|4954&2|77809&5|7408&5|34343&3|76224&2|3041&5|9917&5|73116&5|57725&4;36924&1|36924&1|35100&4|33994&4|35882&5|35057&4|35882&5|35061&4|35882&5|35882&5;4620&5|14996&5|35216&5|4954&2|77809&5|7408&5|34343&3|76224&2|3041&5|9917&5|73116&5|57725&4|36924&1|36924&1|35100&4|33994&4|35882&5|35057&4|35882&5|35061&4|35882&5|35882&5
67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5;22123&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5;67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|67506&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5|22123&5
24476&4|53452&5|5984&5|67632&4|21717&5|23701&3|34925&3|69378&3|50770&5|74417&5|12864&4|73508&3;30112&5|18951&4|20534&5|28266&5|30112&5|20534&5|68368&4|30701&5|2918&4|77892&5;24476&4|53452&5|5984&5|67632&4|21717&5|23701&3|34925&3|69378&3|50770&5|74417&5|12864&4|73508&3|30112&5|18951&4|20534&5|28266&5|30112&5|20534&5|68368&4|30701&5|2918&4|77892&5
62337&4|63834&5|7671&4|73508&5|73508&5|7671&4|7671&4|73508&5|62337&4|73508&5|7671&4|19525&4;5895&5|56666&5|5895&5|64638&3|64638&3|64638&3|5895&5|56666&5|64638&3|56666&5;62337&4|63834&5|7671&4|73508&5|73508&5|7671&4|7671&4|73508&5|62337&4|73508&5|7671&4|19525&4|5895&5|56666&5|5895&5|64638&3|64638&3|64638&3|5895&5|56666&5|64638&3|56666&5
51110&4|60626&3|28802&3|75991&3|75911&3|67241&4|57901&4|24798&4|22641&3|32404&5|22386&3|75991&3;52534&5|45618&5|47758&4|39290&2|40287&3|21451&4|46443&5|40356&4|38416&4|38365&3;51110&4|60626&3|28802&3|75991&3|75911&3|67241&4|57901&4|24798&4|22641&3|32404&5|22386&3|75991&3|52534&5|45618&5|47758&4|39290&2|40287&3|21451&4|46443&5|40356&4|38416&4|38365&3
29265&5|3394&5|24065&5|24065&5|29265&5|29265&5|3394&5|79711&5|29265&5|5084&4|5084&4|79711&5;29794&5|29794&5|29794&5|29794&5|3080&5|29794&5|3080&5|29794&5|29794&5|29794&5;29265&5|3394&5|24065&5|24065&5|29265&5|29265&5|3394&5|79711&5|29265&5|5084&4|5084&4|79711&5|29794&5|29794&5|29794&5|29794&5|3080&5|29794&5|3080&5|29794&5|29794&5|29794&5
20498&3|20636&4|71669&4|56082&4|36924&4|56082&4|20637&5|36924&4|36924&4|20637&5|56082&4|67110&5;11390&4|36592&4|36592&4|11390&4|40424&3|36592&4|11390&4|36592&4|36592&4|36592&4;20498&3|20636&4|71669&4|56082&4|36924&4|56082&4|20637&5|36924&4|36924&4|20637&5|56082&4|67110&5|11390&4|36592&4|36592&4|11390&4|40424&3|36592&4|11390&4|36592&4|36592&4|36592&4
4158&5|18145&5|4229&5|54236&5|61773&3|69053&3|7861&5|17843&5|35988&5|4236&5|4236&5|4999&5;25646&5|8975&5|47703&5|4344&5|5809&5|57414&5|25646&5|5711&5|5053&5|5053&5;4158&5|18145&5|4229&5|54236&5|61773&3|69053&3|7861&5|17843&5|35988&5|4236&5|4236&5|4999&5|25646&5|8975&5|47703&5|4344&5|5809&5|57414&5|25646&5|5711&5|5053&5|5053&5
6673&5|7424&3|72374&5|22549&5|73508&4|13378&3|39221&2|38082&2|45146&4|29&4|4145&4|4672&3;47581&3|47570&2|51632&3|45622&4|48000&3|48323&4|45072&3|47652&3|47562&3|52709&3;6673&5|7424&3|72374&5|22549&5|73508&4|13378&3|39221&2|38082&2|45146&4|29&4|4145&4|4672&3|47581&3|47570&2|51632&3|45622&4|48000&3|48323&4|45072&3|47652&3|47562&3|52709&3
16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4;49027&1|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1;16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|16361&4|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1|49027&1
4852&5|62945&3|9302&5|7161&4|53386&3|9302&5|65483&4|62945&3|75600&5|53386&3|9302&5|7161&4;30002&4|30002&4|35656&4|54096&4|54096&4|30002&4|30002&4|54096&4|30002&4|54096&4;4852&5|62945&3|9302&5|7161&4|53386&3|9302&5|65483&4|62945&3|75600&5|53386&3|9302&5|7161&4|30002&4|30002&4|35656&4|54096&4|54096&4|30002&4|30002&4|54096&4|30002&4|54096&4
6137&3|64477&5|12195&5|9635&5|66989&5|11083&5|16278&5|64298&5|16281&5|24271&5|54807&5|78136&5;51514&4|1934&5|28664&5|47550&1|28664&5|47550&1|47550&1|65720&5|51514&4|28664&5;6137&3|64477&5|12195&5|9635&5|66989&5|11083&5|16278&5|64298&5|16281&5|24271&5|54807&5|78136&5|51514&4|1934&5|28664&5|47550&1|28664&5|47550&1|47550&1|65720&5|51514&4|28664&5
25550&5|10829&5|64412&3|27959&5|57642&5|63949&3|65804&5|68951&3|25550&5|57642&5|25620&4|25620&4;3251&3|38980&4|53179&5|53179&5|3251&3|3251&3|48475&5|3251&3|38980&4|48475&5;25550&5|10829&5|64412&3|27959&5|57642&5|63949&3|65804&5|68951&3|25550&5|57642&5|25620&4|25620&4|3251&3|38980&4|53179&5|53179&5|3251&3|3251&3|48475&5|3251&3|38980&4|48475&5
7639&5|569&5|31193&5|31608&5|46076&4|28297&5|2350&5|28297&5|21471&5|26536&5|22473&5|26536&5;33538&5|32087&5|32526&4|32087&5|35869&3|33538&5|32087&5|35869&3|35066&5|32913&5;7639&5|569&5|31193&5|31608&5|46076&4|28297&5|2350&5|28297&5|21471&5|26536&5|22473&5|26536&5|33538&5|32087&5|32526&4|32087&5|35869&3|33538&5|32087&5|35869&3|35066&5|32913&5
67103&4|4590&4|13595&4|54143&4|11794&5|57766&5|59823&3|70663&5|66740&4|14837&4|60000&4|70542&4;8076&5|63084&5|8697&4|47612&5|59648&5|50590&5|6723&5|79839&4|56450&4|8076&5;67103&4|4590&4|13595&4|54143&4|11794&5|57766&5|59823&3|70663&5|66740&4|14837&4|60000&4|70542&4|8076&5|63084&5|8697&4|47612&5|59648&5|50590&5|6723&5|79839&4|56450&4|8076&5
4179&5|15355&3|9477&5|4179&5|50984&5|24125&5|15355&3|15355&3|50984&5|9477&5|4179&5|50984&5;29690&5|66256&5|66256&5|66256&5|66256&5|66256&5|66256&5|66256&5|66256&5|66256&5;4179&5|15355&3|9477&5|4179&5|50984&5|24125&5|15355&3|15355&3|50984&5|9477&5|4179&5|50984&5|29690&5|66256&5|66256&5|66256&5|66256&5|66256&5|66256&5|66256&5|66256&5|66256&5
